	SC182	GRO-09_nasal_brush	D353_Brus_Nas1	SC173	D363_Brus_Nas1	SC184	SC174_SC173	SC174_SC172	GRO-04_nasal_brush	SC183	SC181	SC185
RP11-1260E13.3	3.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0
RP11-296A16.1	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
PCDHGA4	13.0	3.0	1.0	2.0	0.0	9.0	2.0	4.0	1.0	8.0	4.0	2.0
RP11-334C17.5	129.0	377.0	234.0	47.0	69.0	106.0	17.0	28.0	91.0	34.0	24.0	26.0
RP11-353N14.5	2.0	0.0	4.0	1.0	2.0	1.0	0.0	2.0	3.0	0.0	2.0	0.0
CTC-786C10.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00621	41.0	16.0	9.0	4.0	2.0	19.0	3.0	9.0	11.0	5.0	3.0	0.0
LA16c-306E5.2	71.0	33.0	28.0	5.0	7.0	17.0	2.0	1.0	23.0	29.0	8.0	15.0
RP11-104H15.9	4.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	3.0	2.0	1.0
SPON1	52.0	77.0	72.0	8.0	55.0	18.0	0.0	3.0	21.0	18.0	6.0	19.0
RP11-497H17.1	7.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0	0.0	3.0	1.0	2.0
OVCA2	602.0	0.0	0.0	667.0	0.0	729.0	324.0	361.0	2.0	750.0	356.0	173.0
RP5-1050D4.4	9.0	6.0	0.0	0.0	1.0	1.0	1.0	1.0	3.0	4.0	1.0	0.0
RP11-311F12.1	11.0	4.0	12.0	6.0	10.0	13.0	1.0	1.0	18.0	3.0	0.0	5.0
GLIS2-AS1	8.0	26.0	26.0	4.0	9.0	9.0	0.0	0.0	59.0	4.0	3.0	0.0
CTD-3195I5.3	0.0	1.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
RP11-46I8.3	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-485G7.6	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
RP11-44F14.8	38.0	106.0	110.0	38.0	49.0	34.0	17.0	13.0	32.0	22.0	15.0	9.0
RP11-1000B6.8	72.0	16.0	40.0	10.0	18.0	43.0	4.0	17.0	37.0	27.0	11.0	10.0
RP11-1099M24.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-2135D7.2	38.0	4.0	23.0	3.0	4.0	14.0	1.0	1.0	2.0	24.0	3.0	5.0
RP11-353N14.1	4.0	7.0	9.0	0.0	2.0	2.0	1.0	0.0	5.0	1.0	0.0	1.0
RP11-1113L8.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-353N14.2	12.0	7.0	3.0	4.0	4.0	3.0	0.0	0.0	1.0	4.0	0.0	0.0
RP11-818O24.3	6.0	2.0	5.0	1.0	3.0	23.0	2.0	0.0	1.0	20.0	10.0	24.0
RP11-961A15.1	3.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0
U91319.1	2.0	2.0	15.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-667K14.5	1.0	0.0	2.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
MRPL12	182.0	2878.0	2315.0	140.0	1758.0	188.0	44.0	64.0	2470.0	87.0	47.0	24.0
RP11-565F19.4	1.0	1.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
RP13-580F15.2	93.0	364.0	581.0	57.0	236.0	80.0	23.0	38.0	175.0	31.0	33.0	7.0
RP11-498C9.2	79.0	1.0	19.0	2.0	16.0	21.0	2.0	5.0	1.0	49.0	28.0	6.0
RP11-28G8.1	3.0	0.0	1.0	0.0	3.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0
RP11-517A5.5	0.0	0.0	2.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-2561B21.11	4.0	9.0	13.0	0.0	1.0	3.0	0.0	0.0	10.0	0.0	2.0	2.0
C19orf84	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
RP11-1055B8.4	57.0	27.0	127.0	31.0	111.0	39.0	6.0	7.0	19.0	14.0	1.0	5.0
CTD-3060P21.1	3.0	17.0	36.0	0.0	8.0	1.0	0.0	1.0	3.0	1.0	2.0	1.0
RP11-424M24.5	69.0	178.0	126.0	7.0	33.0	99.0	9.0	4.0	291.0	4.0	6.0	8.0
AC139099.4	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
LA16c-360H6.3	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
RP11-235E17.6	5.0	8.0	10.0	4.0	10.0	7.0	2.0	0.0	0.0	5.0	4.0	0.0
RP5-1029F21.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAM58A	818.0	1186.0	954.0	676.0	625.0	548.0	324.0	340.0	862.0	570.0	282.0	126.0
RP11-1260E13.1	115.0	249.0	390.0	265.0	257.0	107.0	145.0	60.0	131.0	5.0	21.0	7.0
RP11-141J13.3	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	1.0	4.0
RP11-189E14.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC139099.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-85B7.2	38.0	38.0	65.0	6.0	35.0	31.0	6.0	6.0	18.0	13.0	8.0	4.0
RP11-294J22.6	10.0	359.0	362.0	4.0	344.0	18.0	1.0	0.0	75.0	14.0	2.0	36.0
AF001550.7	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-2194A8.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-3088G3.6	0.0	1.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0
GTF2I	5095.0	9121.0	4973.0	2523.0	2973.0	3485.0	1226.0	1466.0	3716.0	3176.0	1394.0	619.0
ZNF234	271.0	261.0	207.0	124.0	129.0	128.0	55.0	70.0	101.0	161.0	42.0	20.0
RP11-166P13.3	510.0	450.0	903.0	384.0	429.0	247.0	185.0	192.0	626.0	116.0	86.0	64.0
RP5-1029F21.3	3.0	0.0	0.0	10.0	1.0	20.0	5.0	0.0	0.0	1.0	3.0	1.0
XXbac-BPG32J3.22	102.0	0.0	0.0	85.0	0.0	129.0	35.0	36.0	0.0	107.0	55.0	32.0
RP11-396B14.2	1.0	6.0	7.0	0.0	3.0	1.0	0.0	0.0	4.0	1.0	0.0	0.0
RP11-355F22.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
RP11-667K14.3	10.0	5.0	1.0	3.0	1.0	11.0	1.0	0.0	6.0	1.0	5.0	2.0
RP11-388C12.1	13.0	15.0	27.0	3.0	10.0	3.0	2.0	1.0	19.0	1.0	0.0	1.0
AF001548.6	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
CTD-2047H16.4	123.0	49.0	51.0	20.0	43.0	77.0	7.0	5.0	55.0	23.0	19.0	18.0
ZNF213-AS1	305.0	317.0	382.0	182.0	311.0	104.0	90.0	93.0	236.0	124.0	35.0	27.0
RP11-485G7.5	3.0	8.0	12.0	1.0	5.0	3.0	0.0	1.0	2.0	2.0	0.0	0.0
AC004878.8	0.0	6.0	8.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-2034I21.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-166P13.4	21.0	158.0	133.0	4.0	107.0	30.0	2.0	3.0	34.0	14.0	4.0	10.0
RP11-515O17.2	4.0	3.0	7.0	1.0	3.0	7.0	0.0	0.0	4.0	6.0	1.0	3.0
RP11-95P2.3	1.0	67.0	113.0	2.0	43.0	15.0	0.0	1.0	67.0	0.0	0.0	1.0
CTC-479C5.10	16.0	1.0	2.0	11.0	1.0	14.0	6.0	3.0	4.0	5.0	4.0	1.0
RP11-849I19.1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-1055B8.2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MYZAP	60.0	59.0	126.0	43.0	97.0	47.0	22.0	15.0	53.0	34.0	25.0	53.0
RP11-462G12.4	0.0	0.0	9.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-333E1.2	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	2.0
RP11-810M2.2	5.0	0.0	4.0	0.0	3.0	4.0	0.0	0.0	0.0	4.0	2.0	0.0
RP11-149I9.2	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
RP11-542C16.1	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	1.0
RP11-893F2.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTC-479C5.6	1.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
RP11-26L20.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-2561B21.7	2.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	3.0	1.0
RP11-420A6.2	6.0	9.0	52.0	1.0	25.0	6.0	1.0	2.0	13.0	1.0	2.0	3.0
CTD-2135D7.3	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-65J21.4	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
CTB-133G6.1	8.0	1.0	1.0	2.0	1.0	0.0	2.0	0.0	0.0	2.0	19.0	0.0
RP11-1055B8.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTC-524C5.2	8.0	98.0	35.0	6.0	90.0	9.0	0.0	2.0	66.0	2.0	1.0	2.0
RP11-109M19.1	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	1.0
LA16c-325D7.2	17.0	34.0	66.0	4.0	24.0	6.0	0.0	0.0	34.0	2.0	4.0	0.0
THCAT158	1.0	1.0	13.0	1.0	12.0	1.0	2.0	1.0	2.0	2.0	0.0	0.0
RP5-1029F21.4	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP005530.2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-166B2.8	113.0	8.0	7.0	37.0	1.0	27.0	21.0	36.0	3.0	41.0	12.0	14.0
RP11-459C13.1	2.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0
RP11-530N7.3	5.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0
RP11-429O1.1	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
LA16c-325D7.1	6.0	1.0	0.0	1.0	0.0	2.0	0.0	2.0	0.0	1.0	1.0	2.0
TAPT1-AS1	119.0	42.0	0.0	34.0	12.0	35.0	11.0	24.0	16.0	55.0	15.0	8.0
CTC-508F8.1	1.0	31.0	6.0	1.0	4.0	9.0	0.0	0.0	7.0	0.0	0.0	1.0
AF001548.5	15.0	34.0	32.0	20.0	21.0	17.0	7.0	13.0	22.0	5.0	7.0	1.0
RP1-59D14.5	71.0	1.0	2.0	12.0	2.0	53.0	0.0	4.0	0.0	63.0	13.0	46.0
PPIAL4A	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0
RP11-68I3.5	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	1.0	1.0
CTC-297N7.10	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-53I6.4	2.0	10.0	11.0	0.0	8.0	1.0	0.0	0.0	2.0	1.0	0.0	2.0
RP11-160E2.19	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEM220-AS1	83.0	99.0	118.0	49.0	240.0	63.0	25.0	43.0	153.0	45.0	17.0	17.0
GTSCR1	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-2541J13.2	39.0	1.0	2.0	4.0	1.0	9.0	1.0	0.0	0.0	29.0	3.0	2.0
RP11-599B13.3	4.0	1.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00675	283.0	348.0	554.0	175.0	1251.0	334.0	100.0	202.0	691.0	164.0	89.0	42.0
RP11-680N20.1	56.0	654.0	306.0	24.0	38.0	190.0	4.0	2.0	951.0	18.0	10.0	17.0
SRSF8	1129.0	1683.0	2373.0	775.0	1404.0	808.0	344.0	436.0	1184.0	700.0	435.0	155.0
RP1-56K13.2	4.0	6.0	4.0	0.0	4.0	9.0	1.0	0.0	2.0	1.0	0.0	8.0
RP11-160O5.1	38.0	57.0	114.0	26.0	37.0	46.0	6.0	5.0	43.0	13.0	12.0	2.0
RP11-338L22.2	7.0	3.0	14.0	2.0	3.0	6.0	0.0	0.0	1.0	8.0	1.0	0.0
AC004702.2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
RP11-118E18.4	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
RP11-269G24.2	3.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	1.0	1.0
RP11-963H4.3	12.0	113.0	90.0	12.0	88.0	33.0	3.0	9.0	23.0	7.0	4.0	2.0
FAM72C	0.0	2.0	14.0	0.0	1.0	1.0	0.0	0.0	3.0	3.0	1.0	0.0
IKBKE	559.0	1101.0	726.0	359.0	382.0	292.0	175.0	219.0	458.0	314.0	139.0	45.0
RP13-753N3.1	9.0	27.0	13.0	1.0	38.0	8.0	2.0	2.0	45.0	3.0	0.0	0.0
RP11-78F17.1	3.0	3.0	0.0	6.0	0.0	5.0	2.0	0.0	0.0	3.0	0.0	0.0
RP11-498C9.13	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
HID1-AS1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-595B24.2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-403I13.7	23.0	39.0	13.0	8.0	5.0	13.0	4.0	7.0	6.0	9.0	8.0	5.0
CTD-2349P21.5	9.0	9.0	17.0	2.0	8.0	13.0	3.0	7.0	7.0	4.0	0.0	1.0
RP11-612A1.1	2.0	6.0	3.0	1.0	0.0	2.0	0.0	0.0	5.0	0.0	0.0	0.0
AF186192.6	1.0	1.0	3.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
RP11-45M22.3	6.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
PPP4R1-AS1	9.0	18.0	14.0	26.0	19.0	14.0	6.0	8.0	14.0	3.0	1.0	4.0
RP11-106E15.1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MSMB	70522.0	188495.0	231483.0	88305.0	7108.0	153017.0	51262.0	1205.0	222189.0	2975.0	1418.0	10951.0
RP11-269G24.3	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
RP11-25L3.3	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
RP11-82O19.1	3.0	3.0	4.0	0.0	1.0	4.0	0.0	1.0	0.0	1.0	0.0	2.0
RP3-416J7.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
RP11-17A19.2	1.0	1.0	6.0	1.0	2.0	1.0	0.0	0.0	37.0	0.0	0.0	0.0
RP11-57A1.1	3.0	0.0	4.0	0.0	0.0	2.0	0.0	2.0	4.0	1.0	0.0	0.0
RP4-777O23.1	7.0	0.0	1.0	2.0	1.0	3.0	1.0	1.0	2.0	6.0	1.0	10.0
RP11-628O18.1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-408H20.3	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
RP11-597M12.1	6.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
RP11-85B7.4	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CRHR1	345.0	18.0	21.0	34.0	6.0	40.0	21.0	24.0	11.0	93.0	45.0	22.0
RP11-285E9.6	14.0	27.0	31.0	8.0	16.0	14.0	3.0	3.0	24.0	10.0	12.0	2.0
DLGAP1-AS3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-498C9.15	133.0	146.0	365.0	76.0	247.0	81.0	29.0	26.0	122.0	47.0	20.0	13.0
RP11-161I6.2	14.0	14.0	1.0	3.0	0.0	15.0	2.0	2.0	16.0	3.0	1.0	1.0
LINC00667	814.0	1511.0	1953.0	768.0	1204.0	442.0	391.0	328.0	711.0	372.0	267.0	126.0
XXbac-BPG181M17.6	63.0	0.0	4.0	4.0	0.0	8.0	0.0	2.0	0.0	23.0	12.0	4.0
GDF2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-580I16.2	60.0	17.0	42.0	44.0	19.0	45.0	9.0	20.0	33.0	26.0	21.0	10.0
RP11-456D7.1	0.0	1.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-849F2.7	4.0	7.0	15.0	2.0	10.0	2.0	1.0	4.0	1.0	5.0	0.0	0.0
LINC00908	61.0	189.0	45.0	25.0	30.0	81.0	13.0	16.0	189.0	25.0	12.0	9.0
RP11-326K13.4	128.0	114.0	74.0	21.0	51.0	37.0	13.0	17.0	83.0	67.0	30.0	13.0
RP11-573D15.9	48.0	16.0	39.0	16.0	15.0	16.0	9.0	21.0	18.0	17.0	15.0	9.0
RP11-649A18.12	65.0	11.0	5.0	28.0	10.0	15.0	23.0	19.0	9.0	35.0	16.0	6.0
RP11-143J12.3	2.0	2.0	13.0	0.0	14.0	3.0	0.0	0.0	1.0	4.0	0.0	1.0
RP11-498C9.16	21.0	2.0	2.0	0.0	1.0	10.0	2.0	0.0	2.0	14.0	10.0	10.0
LINC00672	18.0	48.0	247.0	14.0	96.0	28.0	5.0	10.0	38.0	9.0	6.0	4.0
DLGAP1-AS4	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
RP11-705O1.8	29.0	14.0	24.0	4.0	9.0	8.0	1.0	7.0	13.0	10.0	7.0	0.0
CTD-3010D24.3	26.0	110.0	196.0	19.0	105.0	26.0	6.0	11.0	100.0	5.0	5.0	2.0
RP11-571L19.7	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
RP11-210K20.2	0.0	11.0	9.0	0.0	7.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0
RP11-180P8.1	24.0	1.0	0.0	5.0	0.0	5.0	2.0	4.0	0.0	3.0	3.0	0.0
NBPF11	306.0	267.0	182.0	167.0	120.0	118.0	79.0	87.0	146.0	125.0	73.0	32.0
RP11-676J15.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1orf186	24.0	6.0	20.0	17.0	14.0	1.0	11.0	20.0	3.0	10.0	146.0	0.0
RP11-789C17.5	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-504I13.3	1.0	1.0	1.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-746M1.1	2.0	4.0	9.0	1.0	6.0	8.0	0.0	1.0	5.0	2.0	1.0	4.0
CTC-542B22.2	20.0	4.0	5.0	3.0	0.0	20.0	0.0	0.0	1.0	11.0	1.0	9.0
RP11-286N3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-627G18.2	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-176N18.2	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTC-297N7.9	12.0	3.0	4.0	0.0	3.0	8.0	0.0	1.0	0.0	10.0	5.0	3.0
RP11-6N17.6	7.0	5.0	9.0	3.0	7.0	2.0	1.0	1.0	2.0	1.0	2.0	2.0
RP11-728E14.2	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
RP11-1124B17.1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD15-AS1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-192H23.7	6.0	2.0	2.0	1.0	0.0	3.0	2.0	2.0	0.0	5.0	2.0	0.0
RP5-1028K7.3	10.0	2.0	1.0	2.0	0.0	8.0	1.0	3.0	1.0	7.0	3.0	2.0
RP11-20B24.2	1.0	1.0	2.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
RP11-401O9.3	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-73M7.9	4.0	5.0	13.0	1.0	11.0	1.0	2.0	1.0	3.0	0.0	3.0	0.0
CTD-2015H3.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
RP11-227G15.9	3.0	1.0	1.0	0.0	3.0	4.0	0.0	0.0	1.0	0.0	1.0	0.0
RP11-848P1.5	20.0	7.0	24.0	2.0	4.0	12.0	2.0	2.0	8.0	6.0	5.0	4.0
RP11-159D12.2	203.0	150.0	293.0	80.0	138.0	126.0	38.0	36.0	76.0	85.0	24.0	14.0
RP11-354P11.4	2.0	0.0	8.0	0.0	8.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
RP11-739N10.1	0.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0
RP11-212E8.1	0.0	1.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
RP1-37N7.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-171G2.1	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-196G18.23	30.0	29.0	161.0	22.0	32.0	20.0	9.0	9.0	44.0	20.0	4.0	5.0
RP11-94B19.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-283C24.1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-757O6.1	1.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
ANXA8L1	176.0	63.0	23.0	43.0	15.0	70.0	16.0	16.0	18.0	606.0	187.0	18.0
RP13-270P17.1	33.0	45.0	48.0	16.0	31.0	18.0	5.0	2.0	53.0	15.0	3.0	4.0
LINC00909	548.0	704.0	440.0	323.0	287.0	337.0	145.0	182.0	455.0	242.0	155.0	73.0
CTD-3096M3.1	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-671P2.1	1.0	3.0	1.0	0.0	1.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0
RP11-15F12.1	7.0	37.0	17.0	5.0	11.0	6.0	4.0	2.0	17.0	2.0	0.0	0.0
RP11-474I11.7	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
CTD-2514K5.4	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
CTD-2145A24.4	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
RP11-162A12.2	112.0	20.0	27.0	81.0	19.0	62.0	32.0	43.0	19.0	68.0	30.0	10.0
RP11-680F20.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-20B24.7	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0
RP11-287D1.3	2.0	11.0	15.0	1.0	7.0	4.0	1.0	1.0	4.0	1.0	0.0	1.0
RP11-769O8.2	0.0	4.0	3.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-231E4.3	0.0	1.0	4.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0
NOTCH2NL	429.0	521.0	426.0	79.0	252.0	297.0	36.0	43.0	246.0	149.0	41.0	38.0
RP11-958F21.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DYNLL2	1393.0	2959.0	2720.0	778.0	1758.0	572.0	324.0	313.0	1378.0	557.0	245.0	110.0
RP11-621L6.2	0.0	2.0	27.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
LINC00864	0.0	3.0	5.0	0.0	4.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0
RP4-594I10.3	170.0	168.0	474.0	39.0	257.0	327.0	23.0	18.0	350.0	108.0	25.0	225.0
RP3-388N13.5	7.0	21.0	13.0	2.0	13.0	3.0	0.0	3.0	5.0	5.0	0.0	1.0
RP11-945C19.4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-433M22.2	0.0	1.0	8.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-220C2.1	4.0	13.0	27.0	1.0	5.0	4.0	1.0	2.0	28.0	4.0	0.0	0.0
RP11-110H1.8	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-349A8.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
RP11-556O9.2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-720L2.4	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP4-777O23.2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
OTUD7B	1605.0	1293.0	1958.0	613.0	1214.0	699.0	266.0	331.0	727.0	767.0	303.0	248.0
WI2-1959D15.1	209.0	264.0	194.0	58.0	46.0	444.0	8.0	8.0	439.0	23.0	19.0	21.0
