	GRO-03_biopsy	GRO-10_biopsy	GRO-08_biopsy	D372_Biop_Int2	GRO-06_biopsy	D326_Biop_Pro1	GRO-09_biopsy	D367_Biop_Pro1	D372_Biop_Pro1	D353_Biop_Pro1	D339_Biop_Int1	D354_Biop_Int2	GRO-04_biopsy	GRO-07_biopsy
AC006129.1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-2017D11.1	404.0	454.0	340.0	45.0	590.0	176.0	482.0	109.0	145.0	44.0	17.0	59.0	181.0	669.0
SMC5-AS1	88.0	71.0	80.0	7.0	127.0	21.0	48.0	10.0	18.0	7.0	6.0	12.0	44.0	128.0
CTC-492K19.4	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-2568A17.8	3.0	2.0	2.0	0.0	8.0	2.0	0.0	3.0	3.0	1.0	0.0	0.0	1.0	5.0
FENDRR	37.0	63.0	24.0	29.0	10.0	1.0	59.0	0.0	8.0	1.0	7.0	4.0	3.0	12.0
CTC-518B2.10	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0
AC003682.16	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
CTD-3214H19.4	5.0	30.0	14.0	0.0	6.0	0.0	14.0	1.0	1.0	1.0	0.0	0.0	24.0	3.0
CTC-344H19.4	8.0	4.0	5.0	0.0	4.0	1.0	3.0	2.0	0.0	4.0	2.0	1.0	2.0	12.0
CTD-2371O3.3	210.0	126.0	78.0	0.0	131.0	51.0	182.0	8.0	76.0	5.0	0.0	2.0	91.0	137.0
CTD-2626G11.2	194.0	110.0	155.0	233.0	731.0	389.0	148.0	245.0	331.0	94.0	177.0	267.0	208.0	794.0
RP3-461F17.3	35.0	34.0	38.0	7.0	58.0	15.0	83.0	14.0	15.0	2.0	11.0	3.0	41.0	52.0
DKFZP434I0714	81.0	53.0	72.0	35.0	70.0	17.0	82.0	5.0	59.0	31.0	10.0	18.0	27.0	62.0
RP11-356J5.13	53.0	41.0	39.0	5.0	63.0	19.0	43.0	11.0	15.0	2.0	5.0	2.0	18.0	57.0
CTC-435M10.6	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
CTD-2586B10.1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC018755.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-805I24.3	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-572B2.1	2.0	2.0	6.0	0.0	16.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	8.0
CTD-3138B18.5	173.0	237.0	131.0	97.0	210.0	96.0	240.0	69.0	173.0	42.0	73.0	47.0	179.0	242.0
CTD-2545M3.8	4.0	1.0	4.0	1.0	3.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	2.0	8.0
CTC-273B12.5	2.0	4.0	4.0	0.0	4.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	6.0
RP11-32B5.8	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
RP11-514D23.1	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004076.7	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
AC005523.3	11.0	48.0	47.0	12.0	57.0	26.0	25.0	14.0	25.0	18.0	19.0	12.0	70.0	71.0
RP11-678G14.3	2.0	3.0	5.0	0.0	9.0	1.0	1.0	1.0	1.0	0.0	2.0	0.0	5.0	4.0
AC003956.1	0.0	1.0	0.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0
AC005339.2	17.0	6.0	7.0	0.0	10.0	2.0	22.0	0.0	6.0	2.0	2.0	3.0	10.0	8.0
RP11-687D19.1	6.0	1.0	111.0	0.0	113.0	1.0	17.0	3.0	1.0	0.0	3.0	42.0	60.0	126.0
AC007228.9	81.0	58.0	8.0	5.0	93.0	13.0	23.0	10.0	11.0	5.0	1.0	7.0	60.0	48.0
RP11-158H5.7	18.0	23.0	17.0	8.0	26.0	17.0	15.0	13.0	11.0	3.0	3.0	4.0	17.0	32.0
CTC-453G23.8	0.0	6.0	5.0	0.0	3.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	7.0
RP11-464F9.20	97.0	107.0	92.0	26.0	171.0	143.0	102.0	48.0	82.0	24.0	15.0	29.0	121.0	258.0
RAET1E-AS1-1	12.0	21.0	13.0	1.0	10.0	19.0	21.0	5.0	0.0	2.0	5.0	12.0	3.0	19.0
AC115522.3	4.0	3.0	4.0	2.0	9.0	1.0	13.0	5.0	6.0	0.0	1.0	0.0	5.0	9.0
RP11-316O14.1	6.0	3.0	1.0	4.0	3.0	3.0	15.0	0.0	1.0	3.0	0.0	0.0	6.0	2.0
RP11-65J3.15	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
AC006262.5	10.0	4.0	2.0	2.0	16.0	4.0	8.0	0.0	0.0	0.0	1.0	1.0	6.0	10.0
RP1-122P22.4	168.0	88.0	53.0	10.0	362.0	14.0	71.0	14.0	18.0	13.0	72.0	13.0	114.0	422.0
RP11-739B23.1	13.0	4.0	10.0	11.0	28.0	26.0	15.0	27.0	21.0	3.0	10.0	13.0	11.0	25.0
CTB-33G10.11	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP4-806M20.4	0.0	2.0	2.0	0.0	4.0	6.0	2.0	0.0	3.0	1.0	0.0	0.0	2.0	1.0
AC068499.10	2.0	4.0	13.0	4.0	28.0	8.0	2.0	4.0	3.0	7.0	0.0	4.0	4.0	14.0
MIMT1	3.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
CTB-60B18.10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00664	0.0	5.0	12.0	4.0	35.0	20.0	22.0	1.0	3.0	2.0	10.0	2.0	2.0	12.0
LLNLR-249E10.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTB-33G10.6	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTC-444N24.13	9.0	22.0	17.0	1.0	28.0	12.0	12.0	5.0	3.0	4.0	1.0	5.0	7.0	25.0
AC010524.2	2.0	3.0	6.0	5.0	9.0	1.0	5.0	6.0	2.0	0.0	1.0	2.0	2.0	15.0
RP11-247A12.7	8.0	6.0	6.0	1.0	3.0	0.0	4.0	0.0	3.0	0.0	1.0	0.0	1.0	6.0
CTC-444N24.8	152.0	214.0	81.0	3.0	185.0	63.0	224.0	73.0	40.0	7.0	35.0	11.0	106.0	231.0
CTD-2105E13.14	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
CTB-61M7.2	28.0	54.0	83.0	0.0	177.0	0.0	111.0	0.0	0.0	0.0	0.0	0.0	10.0	219.0
CTC-518B2.12	4.0	0.0	1.0	0.0	32.0	1.0	5.0	0.0	0.0	0.0	0.0	1.0	1.0	7.0
CTD-3105H18.14	10.0	21.0	10.0	12.0	37.0	63.0	15.0	28.0	31.0	8.0	32.0	19.0	6.0	33.0
CTD-2571L23.8	7.0	11.0	30.0	0.0	79.0	40.0	5.0	30.0	18.0	6.0	5.0	8.0	9.0	58.0
CTD-2583A14.10	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCGB1B2P	23.0	28.0	20.0	17.0	25.0	11.0	26.0	1.0	22.0	10.0	10.0	4.0	13.0	30.0
RP11-514D23.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC104534.2	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
CTD-3073N11.9	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTC-429P9.4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTC-490E21.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
CTB-25B13.5	147.0	74.0	55.0	21.0	68.0	30.0	61.0	19.0	49.0	5.0	7.0	2.0	29.0	59.0
RP11-542M13.3	5.0	15.0	11.0	0.0	9.0	1.0	13.0	0.0	2.0	0.0	0.0	0.0	21.0	7.0
AC007193.9	8.0	2.0	5.0	0.0	45.0	1.0	10.0	0.0	0.0	0.0	0.0	1.0	1.0	31.0
RP1-102K2.8	69.0	50.0	82.0	19.0	124.0	51.0	78.0	62.0	52.0	31.0	23.0	9.0	4.0	73.0
AC011513.4	23.0	2.0	7.0	2.0	17.0	1.0	6.0	14.0	0.0	0.0	5.0	5.0	2.0	7.0
LA16c-OS12.2	32.0	36.0	20.0	4.0	39.0	22.0	41.0	22.0	19.0	6.0	2.0	2.0	18.0	54.0
CTD-2245F17.2	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0
CTD-2545M3.2	0.0	1.0	2.0	0.0	4.0	1.0	3.0	0.0	0.0	0.0	0.0	1.0	1.0	4.0
RP4-591C20.9	110.0	99.0	97.0	27.0	104.0	47.0	134.0	17.0	53.0	42.0	29.0	41.0	38.0	173.0
CTD-2207O23.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-3105H18.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-3099C6.7	0.0	0.0	0.0	4.0	0.0	4.0	0.0	4.0	2.0	1.0	2.0	1.0	1.0	2.0
CTD-2616J11.14	0.0	0.0	1.0	0.0	4.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
PLCE1-AS1	2.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0
A1BG-AS1	140.0	47.0	22.0	20.0	10.0	13.0	125.0	5.0	10.0	8.0	9.0	4.0	35.0	34.0
RP11-256I23.1	7.0	1.0	2.0	0.0	8.0	0.0	5.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0
CTC-518B2.9	12.0	3.0	1.0	1.0	7.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0	1.0	4.0
CTD-2619J13.17	18.0	20.0	26.0	9.0	39.0	22.0	23.0	10.0	16.0	7.0	13.0	6.0	11.0	28.0
RP11-180I4.4	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
RP11-886P16.6	5.0	2.0	3.0	0.0	7.0	3.0	2.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0
RP5-907D15.4	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-2192J16.26	9.0	20.0	22.0	0.0	55.0	44.0	17.0	10.0	29.0	9.0	14.0	10.0	15.0	40.0
MIA-RAB4B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTC-457E21.9	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005253.4	0.0	1.0	2.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	9.0
CTD-2528A14.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAN1B1-AS1	166.0	162.0	75.0	52.0	199.0	137.0	213.0	52.0	141.0	36.0	34.0	37.0	119.0	213.0
AC005932.1	3.0	3.0	2.0	1.0	3.0	4.0	7.0	2.0	10.0	2.0	5.0	0.0	2.0	7.0
AC003006.7	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MTRNR2L12	11.0	42.0	55.0	2496.0	60.0	11889.0	41.0	4465.0	6753.0	709.0	1116.0	2540.0	20.0	58.0
AP001462.6	29.0	85.0	63.0	35.0	96.0	124.0	102.0	18.0	108.0	11.0	12.0	15.0	23.0	151.0
CTC-513N18.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
CTC-360G5.6	2.0	3.0	0.0	0.0	5.0	1.0	0.0	1.0	0.0	0.0	2.0	1.0	1.0	9.0
CTD-2245F17.3	22.0	22.0	36.0	8.0	31.0	6.0	14.0	15.0	4.0	5.0	5.0	8.0	29.0	32.0
CTD-2521M24.8	2.0	3.0	2.0	1.0	4.0	20.0	1.0	2.0	0.0	0.0	3.0	2.0	1.0	4.0
CTD-2619J13.3	3.0	15.0	17.0	2.0	25.0	3.0	2.0	2.0	3.0	1.0	1.0	3.0	5.0	32.0
CALR3	3.0	0.0	8.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0
CTD-2528A14.5	1.0	3.0	5.0	0.0	2.0	14.0	1.0	4.0	9.0	0.0	5.0	4.0	1.0	9.0
ZNF728	3.0	1.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0
RP11-256I23.2	12.0	5.0	1.0	0.0	5.0	6.0	2.0	3.0	6.0	0.0	0.0	1.0	6.0	13.0
CTD-3187F8.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTC-523E23.5	2.0	6.0	8.0	4.0	13.0	15.0	5.0	3.0	1.0	3.0	5.0	0.0	0.0	12.0
CTD-2126E3.3	7.0	7.0	11.0	3.0	23.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	11.0	38.0
CTD-2525I3.5	1.0	2.0	0.0	1.0	0.0	2.0	0.0	2.0	1.0	1.0	2.0	1.0	0.0	2.0
CTD-2619J13.23	8.0	17.0	7.0	1.0	20.0	8.0	8.0	1.0	7.0	4.0	2.0	3.0	16.0	20.0
RP11-15H20.7	0.0	0.0	0.0	3.0	0.0	4.0	0.0	14.0	2.0	1.0	6.0	7.0	0.0	0.0
CTC-513N18.7	0.0	6.0	2.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0
TRABD2B	34.0	28.0	15.0	17.0	27.0	23.0	10.0	13.0	20.0	12.0	13.0	3.0	10.0	35.0
AC007193.10	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	3.0
RP11-98F14.11	2.0	0.0	4.0	1.0	1.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	2.0
AC007192.6	0.0	0.0	1.0	1.0	2.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	2.0	3.0
AC092301.3	10.0	23.0	14.0	6.0	29.0	24.0	13.0	26.0	10.0	3.0	7.0	11.0	2.0	53.0
AC007193.8	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP3-431P23.5	12.0	9.0	11.0	2.0	8.0	3.0	7.0	0.0	3.0	0.0	2.0	3.0	12.0	27.0
CTD-3131K8.3	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0
CTC-218B8.3	0.0	0.0	1.0	0.0	2.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0
RP11-727F15.12	126.0	106.0	85.0	55.0	100.0	40.0	133.0	25.0	82.0	14.0	19.0	26.0	30.0	165.0
LINC01082	1.0	5.0	6.0	7.0	1.0	0.0	7.0	0.0	5.0	0.0	0.0	1.0	1.0	1.0
FBXO17	898.0	410.0	263.0	132.0	361.0	285.0	628.0	179.0	374.0	77.0	55.0	53.0	299.0	452.0
AC006942.4	50.0	62.0	41.0	8.0	22.0	25.0	61.0	34.0	13.0	20.0	7.0	20.0	51.0	52.0
RP11-173C1.1	14.0	4.0	11.0	6.0	6.0	12.0	16.0	7.0	14.0	7.0	12.0	3.0	4.0	8.0
LINC00528	41.0	29.0	40.0	1.0	33.0	2.0	102.0	2.0	2.0	1.0	0.0	0.0	28.0	53.0
RP11-722G7.1	81.0	42.0	41.0	13.0	44.0	15.0	56.0	20.0	27.0	12.0	17.0	16.0	30.0	44.0
ZNF350-AS1	5.0	4.0	0.0	1.0	6.0	0.0	2.0	1.0	3.0	2.0	2.0	1.0	0.0	5.0
CTD-2192J16.22	6.0	3.0	12.0	0.0	5.0	5.0	2.0	0.0	1.0	1.0	2.0	4.0	0.0	2.0
CTD-2231E14.8	4.0	0.0	6.0	1.0	5.0	1.0	5.0	0.0	1.0	0.0	0.0	0.0	4.0	3.0
CTC-246B18.10	2.0	14.0	20.0	2.0	48.0	12.0	24.0	4.0	4.0	5.0	3.0	0.0	9.0	51.0
CTD-2105E13.15	0.0	2.0	1.0	0.0	3.0	1.0	5.0	5.0	2.0	2.0	0.0	2.0	8.0	12.0
CTD-2245F17.6	3.0	2.0	2.0	0.0	11.0	5.0	4.0	5.0	3.0	5.0	2.0	3.0	0.0	19.0
CTB-92J24.3	23.0	36.0	25.0	6.0	6.0	0.0	7.0	1.0	12.0	0.0	0.0	1.0	1.0	7.0
CTB-12A17.3	1.0	1.0	1.0	0.0	5.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
ZSCAN16-AS1	361.0	1102.0	876.0	167.0	1600.0	702.0	855.0	313.0	269.0	211.0	179.0	218.0	783.0	1797.0
AC005614.3	4.0	10.0	6.0	0.0	14.0	2.0	2.0	5.0	3.0	4.0	2.0	4.0	12.0	15.0
CTD-2527I21.7	18.0	16.0	16.0	4.0	24.0	9.0	13.0	1.0	0.0	3.0	6.0	1.0	10.0	31.0
MAGIX	1271.0	1055.0	821.0	162.0	1073.0	276.0	1160.0	139.0	324.0	106.0	118.0	129.0	415.0	1372.0
AC007292.3	46.0	33.0	28.0	3.0	55.0	24.0	35.0	26.0	28.0	1.0	6.0	3.0	13.0	72.0
CTC-453G23.4	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
IKBKG	675.0	354.0	301.0	243.0	299.0	191.0	751.0	186.0	361.0	57.0	126.0	49.0	431.0	372.0
ZNF587B	225.0	175.0	197.0	8.0	261.0	110.0	221.0	48.0	71.0	47.0	22.0	4.0	97.0	256.0
CTD-3099C6.5	0.0	0.0	0.0	1.0	0.0	1.0	0.0	5.0	4.0	3.0	3.0	8.0	0.0	0.0
PTOV1-AS2	1.0	1.0	6.0	0.0	6.0	0.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0	1.0
LINC01233	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0
RP11-380M21.4	1.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
CTD-2207O23.11	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RAB11B-AS1	332.0	400.0	265.0	120.0	408.0	289.0	671.0	150.0	249.0	88.0	57.0	100.0	291.0	648.0
RP11-298J23.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	3.0	0.0	1.0
CTB-191K22.6	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-3222D19.12	28.0	26.0	39.0	72.0	73.0	138.0	33.0	85.0	120.0	17.0	13.0	30.0	21.0	59.0
CTD-2616J11.11	3.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0
SPIB	51.0	114.0	78.0	19.0	58.0	71.0	432.0	21.0	25.0	5.0	22.0	14.0	41.0	79.0
NXF2	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
LINC01224	16.0	13.0	8.0	4.0	21.0	11.0	25.0	8.0	5.0	3.0	16.0	1.0	13.0	27.0
PLA2G4C-AS1	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
AC007292.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTC-429P9.1	1.0	2.0	0.0	0.0	5.0	2.0	2.0	3.0	1.0	2.0	1.0	1.0	1.0	5.0
OPN1MW3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NXF2B	12.0	16.0	21.0	0.0	24.0	5.0	9.0	0.0	1.0	1.0	0.0	0.0	10.0	22.0
CTD-3131K8.2	425.0	183.0	141.0	55.0	224.0	161.0	348.0	38.0	119.0	2.0	10.0	31.0	85.0	255.0
RP4-639J15.3	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
AC093063.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-2619J13.19	15.0	22.0	25.0	3.0	25.0	10.0	9.0	3.0	3.0	1.0	4.0	1.0	8.0	17.0
CTD-2583A14.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-3032J10.3	1.0	0.0	0.0	1.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
CTD-2521M24.6	2.0	3.0	3.0	0.0	19.0	3.0	3.0	1.0	1.0	0.0	1.0	0.0	0.0	14.0
Z69720.2	16.0	14.0	11.0	4.0	33.0	21.0	8.0	1.0	7.0	0.0	2.0	3.0	4.0	50.0
AC006272.1	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
CTC-360G5.9	12.0	9.0	5.0	8.0	14.0	11.0	8.0	9.0	6.0	8.0	4.0	4.0	1.0	20.0
CTB-174O21.2	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-98D18.17	0.0	1.0	0.0	0.0	1.0	0.0	1.0	3.0	2.0	3.0	1.0	1.0	0.0	1.0
CTB-147C22.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DMRTC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003973.4	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
RP11-571I18.5	2.0	0.0	2.0	0.0	7.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0
RP11-370I10.12	56.0	52.0	40.0	30.0	59.0	68.0	73.0	33.0	76.0	17.0	26.0	5.0	21.0	49.0
CTB-83J4.1	3.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0
ERVV-1	0.0	0.0	0.0	0.0	1.0	3.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0
AC003002.6	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTC-453G23.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-2525I3.6	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0
RP3-461P17.10	68.0	59.0	42.0	10.0	129.0	4.0	101.0	9.0	20.0	4.0	6.0	3.0	52.0	123.0
TMEM185A	576.0	515.0	301.0	174.0	614.0	282.0	889.0	276.0	346.0	59.0	82.0	71.0	403.0	720.0
RP11-629B11.5	121.0	74.0	62.0	8.0	88.0	36.0	72.0	12.0	62.0	19.0	16.0	18.0	107.0	142.0
AC008753.4	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CMB9-55A18.1	0.0	0.0	1.0	0.0	3.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	5.0
L34079.4	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CT45A10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC016629.3	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
AC005523.2	18.0	61.0	38.0	3.0	315.0	60.0	458.0	21.0	14.0	0.0	23.0	0.0	29.0	447.0
RP11-98D18.15	8.0	33.0	67.0	5.0	50.0	3.0	46.0	12.0	7.0	8.0	3.0	8.0	44.0	73.0
AC004257.1	1.0	11.0	6.0	2.0	8.0	0.0	3.0	0.0	1.0	1.0	0.0	1.0	1.0	9.0
CTD-2331H12.7	30.0	27.0	18.0	4.0	37.0	30.0	45.0	13.0	24.0	13.0	4.0	12.0	26.0	44.0
CTD-2195B23.3	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0
GLTSCR2-AS1	0.0	2.0	2.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0
RP11-542M13.2	0.0	0.0	0.0	0.0	10.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0
CTD-3128G10.6	10.0	14.0	12.0	4.0	15.0	6.0	13.0	6.0	4.0	6.0	0.0	0.0	8.0	12.0
CTD-2192J16.20	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0
AC005197.2	4.0	4.0	6.0	0.0	13.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	9.0
AC007228.11	79.0	38.0	72.0	2.0	44.0	41.0	38.0	6.0	32.0	13.0	13.0	14.0	41.0	48.0
ZIM2	2.0	2.0	1.0	0.0	5.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0
CTD-3214H19.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NBPF9	199.0	170.0	165.0	33.0	279.0	75.0	165.0	53.0	53.0	7.0	13.0	5.0	65.0	302.0
CTD-2521M24.5	1.0	1.0	2.0	0.0	4.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
AC006262.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
RP11-345P4.7	2.0	2.0	9.0	0.0	10.0	18.0	1.0	9.0	7.0	2.0	4.0	1.0	0.0	5.0
CTC-518B2.8	10.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
